Term,Part Of Speech,Sentiment,Frequency
fudge,VBP,negative,6
insistence,NN,positive,4
historic,JJ,positive,2
opportunity,NN,positive,2
rationality,NN,positive,4
threats,NNS,negative,4
fall,VB,negative,1
dislike,VBP,negative,1
evaluate,VBP,neutral,1
cogitate,VB,neutral,1
discern,VBP,neutral,2
commend,VBP,positive,2
grind,NN,negative,2
extemporize,VB,neutral,1
unattractive,JJ,negative,2
graciously,RB,positive,2
viciousness,NN,negative,2
militancy,NN,negative,4
perseverance,NN,positive,2
impregnable,JJ,positive,2
frantic,JJ,negative,2
constraint,NN,negative,2
hopefulness,NN,positive,2
inconsistencies,NNS,negative,4
willingness,NN,positive,4
irrefutable,JJ,positive,2
frenetic,JJ,negative,2
onslaught,NN,negative,4
detrimental,JJ,negative,2
dissuade,VB,negative,2
weird,JJ,negative,4
obsession,NN,negative,2
lascivious,JJ,negative,2
nourish,VB,positive,1
wildly,RB,negative,2
hazard,NN,negative,4
mesmerize,VB,positive,1
notorious,JJ,negative,2
fastidiously,RB,negative,2
treacherous,JJ,negative,2
misinterpret,VBP,negative,2
funded,JJ,neutral,1
ebullience,NN,positive,2
warm,JJ,positive,2
comeback,NN,positive,4
consider,VB,neutral,2
coddle,VBP,positive,1
cry,VBP,negative,1
warlike,JJ,negative,2
palatable,JJ,positive,2
dignity,NN,positive,2
headaches,NNS,negative,4
penalty,NN,negative,4
virtuously,RB,positive,2
reverent,JJ,positive,2
deception,NN,negative,4
carelessness,NN,negative,2
suave,JJ,positive,2
avalanche,NN,negative,4
brat,NN,negative,2
insignificantly,RB,negative,2
impoverished,JJ,negative,1
intelligent,JJ,positive,2
punch,NN,negative,2
surrender,NN,negative,4
vilify,VB,negative,1
draconian,JJ,negative,2
reprehension,NN,negative,2
immoderately,RB,negative,2
volatile,JJ,negative,2
shirk,VBP,negative,2
unconstitutional,JJ,negative,2
pittance,NN,negative,2
galvanize,VB,neutral,2
messy,JJ,negative,2
independence,NN,positive,4
stringent,JJ,negative,2
dud,SYM,negative,1
concern,NN,negative,6
unjustifiable,JJ,negative,2
annoyance,NN,negative,2
scapegoat,NN,negative,2
insincerity,NN,negative,2
arousal,IN,positive,1
recourses,NNS,negative,4
gainsay,VB,negative,1
attitude,NN,neutral,4
titillate,VB,positive,1
attainable,JJ,positive,2
vigorous,JJ,positive,2
incompetent,JJ,negative,2
facetious,JJ,negative,2
inventive,JJ,positive,2
hectic,JJ,negative,2
dignify,VBP,positive,2
dissident,JJ,negative,2
rapport,NN,positive,2
irregular,JJ,negative,2
praiseworthy,JJ,positive,1
prolific,JJ,positive,2
buckle,VB,negative,1
needful,JJ,neutral,3
legacy,NN,neutral,2
catastrophic,JJ,negative,4
incorrigibly,RB,negative,2
cajole,VBP,negative,1
insular,JJ,negative,2
speculate,VBP,neutral,2
rigorous,JJ,negative,2
nauseatingly,RB,negative,2
relief,NN,positive,4
austere,JJ,negative,2
rapture,NN,positive,4
scars,NNS,negative,4
belabor,VB,negative,1
satisfying,JJ,positive,1
adorer,IN,positive,2
fast,JJ,neutral,2
privileged,JJ,positive,2
divisively,RB,negative,2
amicable,JJ,positive,2
pan,VB,negative,2
invader,JJR,negative,2
uncommon,JJ,positive,2
indiscreet,NN,negative,2
warmth,NN,positive,2
ineptitude,NN,negative,4
polution,NN,negative,2
disgrace,NN,negative,4
definite,JJ,positive,2
truant,JJ,negative,2
sophisticated,JJ,positive,2
inattentive,JJ,negative,2
obligation,NN,neutral,4
warmly,RB,positive,2
laud,VBP,positive,1
enjoyably,RB,positive,2
weed,NN,negative,2
indignation,NN,negative,2
lackadaisical,JJ,negative,2
reasonable,JJ,positive,2
winners,NNS,positive,4
mentality,NN,neutral,2
forebodingly,RB,negative,2
enrich,VB,positive,2
seductive,JJ,positive,2
subvert,VB,negative,1
inestimable,JJ,positive,2
ambush,NN,negative,2
malcontent,NN,negative,4
abandonment,NN,negative,2
clean,JJ,positive,2
impertinent,JJ,negative,2
blood,NN,negative,4
boldness,NN,positive,2
diseased,JJ,negative,2
positive,JJ,positive,5438
productive,JJ,positive,2
outrageousness,NN,negative,2
extraneous,JJ,negative,2
errant,JJ,negative,2
sublime,JJ,positive,2
hallucination,NN,negative,2
wretched,JJ,negative,2
neurotically,RB,negative,2
scruples,NNS,positive,1
encourage,VBP,positive,2
licentiously,RB,negative,1
bewilderment,NN,negative,2
supremely,RB,positive,2
imperious,JJ,negative,2
blur,VB,negative,1
ease,NN,positive,2
vindictiveness,NN,negative,2
aha,IN,neutral,1
ruffian,NN,negative,2
disorganized,JJ,negative,1
proportionate,NN,neutral,2
obsolete,JJ,negative,2
worried,JJ,negative,1
entanglement,NN,negative,2
smash,NN,negative,2
inexact,JJ,negative,1
promoter,NN,positive,4
shriek,VBP,negative,1
wow,SYM,positive,2
open,JJ,positive,4
evenly,RB,positive,2
lunatic,NN,negative,2
egotistically,RB,negative,2
officious,JJ,negative,2
decrepitude,NN,negative,2
problems,NNS,negative,4
pitiless,JJ,negative,2
heartbreaker,NN,negative,2
sorry,JJ,negative,2
rancor,NN,negative,2
lessen,VB,negative,1
poison,NN,negative,4
foully,RB,negative,2
lyrical,JJ,positive,2
indescribable,JJ,positive,2
evasion,NN,negative,2
diabolical,JJ,negative,2
forgetfulness,NN,negative,2
smuttiest,JJS,negative,2
ineffectual,JJ,negative,2
implore,VBP,both,1
willing,JJ,positive,2
leakage,NN,negative,2
hedonistic,JJ,negative,2
judgments,NNS,neutral,4
reminiscent,JJ,positive,4
liking,NN,positive,1
practical,JJ,positive,2
baseless,JJ,negative,2
skittish,JJ,negative,4
irritation,NN,negative,4
insincerely,RB,negative,2
inference,NN,neutral,4
kindness,NN,positive,2
cursory,JJ,negative,1
contempt,NN,negative,2
accomplishment,NN,positive,2
madness,NN,negative,2
muddy,JJ,negative,2
revengeful,JJ,negative,2
sob,VBP,negative,2
apologists,NNS,negative,4
discrepant,JJ,negative,1
preoccupy,VB,negative,1
rat,NN,negative,2
discord,NN,negative,2
beatify,VB,positive,1
anxieties,NNS,negative,2
chivalry,NN,positive,2
influence,NN,neutral,4
pest,NN,negative,1
ceaseless,JJ,neutral,2
deride,VBP,negative,1
encouragement,NN,positive,4
paradoxical,JJ,negative,2
exhort,VB,negative,1
impediment,NN,negative,2
marginally,RB,negative,2
grateful,JJ,positive,4
motive,NN,neutral,4
pinnacle,NN,positive,1
confrontation,NN,negative,4
rid,VB,negative,1
allege,VBP,negative,2
flimflam,NN,negative,2
oversized,JJ,negative,2
heaven,NN,positive,2
elimination,NN,negative,2
restoration,NN,positive,2
sincerity,NN,positive,4
emancipate,VB,positive,1
headway,NN,positive,2
crumple,VBP,negative,1
upbeat,JJ,positive,1
revelation,NN,positive,4
clamor,NN,negative,1
dexterously,RB,positive,2
fulfillment,NN,positive,4
effective,JJ,positive,3
uttermost,JJS,positive,1
tale,NN,neutral,4
disprove,VB,negative,1
drive,NN,positive,2
huge,JJ,neutral,2
stability,NN,positive,4
rather,RB,neutral,4
inconceivable,JJ,negative,2
confront,VBP,negative,1
negate,VB,negative,1
frolic,VB,positive,2
imbroglio,NN,negative,2
disagree,VBP,negative,2
unthinkable,JJ,negative,2
paltry,JJ,negative,2
bunk,NN,negative,1
satisfy,VB,positive,2
evil,NN,negative,2
favour,NN,positive,2
exorbitantance,NN,negative,1
paupers,NNS,negative,4
beneficiary,NN,positive,4
glibly,RB,negative,2
twist,NN,negative,4
disconsolation,NN,negative,2
proclaim,VB,neutral,1
biases,NNS,negative,4
worthwhile,JJ,positive,2
illiterate,JJ,negative,2
complicate,VBP,negative,2
triumphant,JJ,positive,4
peacefully,RB,positive,2
admission,NN,positive,4
riches,NNS,positive,2
banishment,NN,negative,2
awesome,JJ,positive,4
particular,JJ,neutral,2
uncompetitive,JJ,negative,2
negative,JJ,negative,9816
palliate,VBP,positive,1
indiscernible,JJ,negative,2
high,JJ,neutral,4
glare,NN,negative,4
diplomacy,NN,neutral,4
foolishness,NN,negative,2
preferences,NNS,positive,4
prejudge,VB,negative,1
turmoil,NN,negative,2
untouched,JJ,positive,1
craving,NN,positive,2
rave,VBP,positive,1
quitter,NN,negative,2
indestructible,JJ,positive,2
plight,NN,negative,2
irrepressible,JJ,negative,2
unbearable,JJ,negative,2
flame,NN,positive,4
views,NNS,neutral,4
prevaricate,VBP,negative,1
exasperation,NN,negative,2
opportunistic,JJ,negative,2
scowl,VBP,negative,4
contaminate,VBP,negative,1
boom,NN,positive,2
commendable,JJ,positive,2
proficient,JJ,positive,2
nervously,RB,negative,2
sufferers,NNS,negative,4
point,NN,neutral,6
fallacious,JJ,negative,2
preach,VBP,positive,2
discretion,NN,positive,2
lush,JJ,positive,2
downhearted,JJ,negative,1
agonize,VB,negative,2
fragrant,JJ,positive,2
superficiality,NN,negative,2
slaughter,NN,negative,6
gawky,JJ,negative,2
bondage,NN,negative,1
nemesis,NN,negative,2
opulent,JJ,positive,2
gracious,JJ,positive,2
suspicions,NNS,negative,4
nauseate,VB,negative,1
divine,JJ,positive,2
indispensability,NN,positive,2
majestic,JJ,positive,2
cooperative,JJ,positive,1
oddities,NNS,negative,4
plentiful,JJ,positive,2
impersonal,JJ,negative,2
steal,VBP,negative,2
dash,VBP,negative,1
failures,NNS,negative,4
romanticize,VB,positive,1
decline,VBP,negative,2
contribution,NN,positive,4
brutal,JJ,negative,2
incompetently,RB,negative,2
pacifists,NNS,positive,4
stagnate,VBP,negative,1
kill,VBP,negative,1
stupified,JJ,negative,1
might,NN,positive,2
obtrusive,JJ,negative,2
distortion,NN,negative,4
gracelessly,RB,negative,2
bewitch,VB,negative,1
hardhearted,JJ,negative,1
masters,NNS,positive,4
prognosticate,VBP,neutral,1
enrage,VB,negative,1
posture,NN,neutral,4
viper,NN,negative,2
misinformed,JJ,negative,1
crave,VBP,positive,2
offset,VBN,positive,2
glossy,JJ,positive,2
fiendish,JJ,negative,2
imposition,NN,negative,4
relevance,NN,positive,2
loveliness,NN,positive,2
dissatisfy,VB,negative,1
cruelties,NNS,negative,2
approval,NN,positive,2
fallacy,NN,negative,2
conducive,JJ,positive,4
jealousy,NN,negative,2
uncouth,JJ,negative,2
failure,NN,negative,4
astronomic,JJ,neutral,2
delighted,JJ,positive,1
bemused,JJ,negative,2
irreconcilable,JJ,negative,2
chilly,JJ,negative,2
eternal,JJ,negative,2
genocide,NN,negative,4
nettlesome,JJ,negative,2
prosper,VBP,positive,2
inflationary,JJ,negative,2
booming,JJ,positive,1
ruin,VBP,negative,6
endurable,JJ,positive,2
payback,NN,negative,4
incessantly,RB,negative,2
euphoric,JJ,positive,2
bleakness,NN,negative,1
expressive,JJ,positive,2
bombastic,JJ,negative,2
prestige,NN,positive,2
wiles,NNS,negative,1
strained,JJ,negative,1
audaciousness,NN,negative,2
groove,VBP,positive,1
inaccessible,JJ,negative,2
faze,VB,negative,1
bafflement,NN,negative,2
impermissible,JJ,negative,2
engulf,VB,negative,1
fetid,JJ,negative,2
masterful,JJ,positive,2
absorbed,VBN,neutral,2
sidetrack,VB,negative,2
showdown,NN,negative,4
resound,VBP,positive,1
taboo,JJ,negative,2
sincere,JJ,positive,2
decent,JJ,positive,2
feebleminded,JJ,negative,1
needless,JJ,negative,1
mere,JJ,negative,4
rational,JJ,positive,2
commitment,NN,positive,4
awestruck,JJ,positive,1
screech,VBP,negative,2
pain,NN,negative,6
banish,VB,negative,2
antagonize,VB,negative,1
clash,NN,negative,4
consternation,NN,negative,2
virulence,NN,negative,2
sloth,NN,negative,2
precious,JJ,positive,6
perfect,JJ,positive,6
proportionate,JJ,neutral,2
burn,VBP,negative,2
allure,NN,positive,4
plaything,NN,negative,2
largely,RB,neutral,2
accordance,NN,positive,2
ponder,VBP,neutral,2
conceited,JJ,negative,1
overturn,VB,negative,2
foul,JJ,negative,6
awfulness,NN,negative,2
exult,VB,positive,1
insulting,JJ,negative,4
relent,VBP,positive,2
fail,VBP,negative,2
honor,NN,positive,6
knowledge,NN,neutral,2
piety,NN,positive,2
fearsome,JJ,negative,2
potential,JJ,positive,2
irresolute,JJ,negative,1
dungeon,NN,negative,2
unwillingness,NN,negative,2
conspire,VBP,negative,1
martyrdom,NN,negative,2
obstinate,JJ,negative,1
shyness,NN,negative,2
hoard,VBP,negative,1
blissful,JJ,positive,2
wreck,VB,negative,2
fairness,NN,positive,4
agitation,NN,negative,2
tragic,JJ,negative,2
virtue,NN,positive,2
adulteration,NN,negative,2
renowned,JJ,positive,1
delightfulness,NN,positive,1
moribund,JJ,negative,2
exploitation,NN,negative,4
success,NN,positive,4
angry,JJ,negative,2
know,VBP,neutral,2
disown,VB,negative,2
vagueness,NN,negative,2
peevishly,RB,negative,2
procrastinate,VBP,negative,1
madder,JJR,negative,3
abomination,NN,negative,2
pledge,NN,positive,4
sad,JJ,negative,4
defective,JJ,negative,2
mockeries,NNS,negative,2
aggression,NN,negative,4
cleanse,VBP,positive,2
terror,NN,negative,3
imperative,JJ,neutral,2
devil,NN,negative,1
recklessness,NN,negative,2
acceptable,JJ,positive,2
threatening,JJ,negative,2
upset,VBN,negative,2
sufficiently,RB,positive,2
alienate,VB,negative,2
alarming,JJ,negative,2
joyless,JJ,positive,2
specific,JJ,neutral,1
desperate,JJ,negative,2
entrapment,NN,negative,2
comfortably,RB,positive,2
squander,VB,negative,1
deviousness,NN,negative,2
betrayals,NNS,negative,2
incorrigible,JJ,negative,2
upright,JJ,positive,1
object,VBP,negative,1
awful,JJ,negative,5
witty,JJ,positive,2
terrorism,NN,negative,2
atrocities,NNS,negative,2
compel,VB,negative,1
soundness,NN,positive,2
incompetence,NN,negative,2
disgruntled,JJ,negative,1
impunity,NN,negative,4
prejudicial,JJ,negative,2
trivial,JJ,negative,4
swipe,NN,negative,4
lovable,JJ,positive,2
wink,NN,positive,2
abhors,NNS,negative,2
logical,JJ,positive,2
tempest,NN,negative,1
bemoan,VB,negative,1
fallaciousness,NN,negative,2
spite,NN,negative,2
doubtfully,RB,negative,2
saintly,JJ,positive,2
inopportune,JJ,negative,1
provocative,JJ,negative,5
unselfish,JJ,positive,2
amaze,VB,positive,2
uproar,NN,negative,2
reason,NN,positive,2
savor,VBP,positive,2
tantrum,NN,negative,2
heartwarming,JJ,positive,1
exquisitely,RB,positive,2
puzzle,VBP,negative,1
try,VBP,negative,1
ally,NN,positive,4
concrete,JJ,positive,1
facilitate,VBP,positive,2
misinform,VB,negative,1
antipathy,NN,negative,2
harmonize,VB,positive,1
illegitimate,JJ,negative,2
patient,NN,positive,6
woe,NN,negative,2
inexperienced,JJ,negative,2
indoctrination,NN,negative,4
democratic,JJ,positive,2
blithe,JJ,positive,1
erosion,NN,negative,2
altruistic,JJ,positive,2
upheld,VBN,positive,1
significant,JJ,positive,2
sacred,JJ,positive,2
dirt,NN,negative,2
wretchedness,NN,negative,2
bully,NN,negative,4
wary,JJ,negative,2
turbulent,JJ,negative,2
sicken,VB,negative,1
standstill,NN,negative,1
gainsayer,NN,negative,1
precaution,NN,positive,2
delusions,NNS,negative,4
exact,JJ,neutral,2
educational,JJ,positive,2
apprehensions,NNS,negative,4
intelligible,JJ,positive,2
glitch,NN,negative,2
bravado,NN,negative,2
accentuate,VBP,neutral,1
outdated,JJ,negative,1
warped,JJ,negative,2
indigent,JJ,negative,1
responsive,JJ,positive,2
unacceptable,JJ,negative,2
horrors,NNS,negative,2
lawlessness,NN,negative,4
hideous,JJ,negative,2
anxiety,NN,negative,2
apathy,NN,negative,1
crusade,NN,positive,4
glamorous,JJ,positive,2
deduce,VBP,neutral,1
languorously,RB,negative,2
legalistic,JJ,neutral,4
uphold,VB,positive,1
inimical,JJ,negative,2
gallingly,RB,negative,2
useless,JJ,negative,2
tepid,JJ,negative,2
slowly,RB,negative,2
captive,JJ,negative,1
judgment,NN,neutral,4
troublesome,JJ,negative,4
peace,NN,positive,6
contradictory,JJ,negative,1
accordantly,RB,positive,2
mortify,VB,negative,1
maniacal,JJ,negative,1
bristle,VBP,negative,2
malcontented,JJ,negative,1
impedance,NN,negative,1
stimulative,JJ,positive,2
studiously,RB,positive,2
suppression,NN,negative,4
dauntless,JJ,positive,2
disclaim,VB,negative,1
civility,NN,positive,2
impractical,JJ,negative,4
coerce,VBP,negative,1
quench,VBP,positive,1
illogically,RB,negative,2
special,JJ,positive,2
paranoid,JJ,negative,2
impassive,JJ,polarity=negative,2
inhibit,VBP,negative,1
central,JJ,neutral,2
precisely,RB,positive,2
jeopardy,NN,negative,2
giant,NN,neutral,2
languid,JJ,negative,2
unrelenting,JJ,negative,2
crumble,VBP,negative,1
scourge,NN,negative,2
innovation,NN,positive,4
felt,VBD,neutral,2
impugn,VB,negative,2
blossom,VB,positive,1
remunerate,VB,positive,1
dumb,JJ,negative,4
jovial,JJ,positive,2
reliably,RB,positive,2
gratification,NN,positive,2
fair,JJ,positive,4
accessible,JJ,positive,2
ineffective,JJ,negative,2
exacerbate,VB,negative,2
liberalism,NN,positive,2
instability,NN,negative,2
busybody,NN,negative,2
unfeeling,JJ,negative,2
disordered,JJ,negative,1
flaunt,VBP,negative,1
masterpieces,NNS,positive,2
throw,VB,negative,2
rescue,NN,positive,4
favor,VBP,positive,3
incisive,JJ,positive,2
affront,NN,negative,2
ignore,VB,negative,2
inexorably,RB,negative,2
liberally,RB,positive,2
commodious,JJ,positive,2
sneak,VB,negative,2
vitality,NN,positive,4
rapid,JJ,neutral,2
outlook,NN,neutral,4
temper,NN,negative,2
subservient,JJ,negative,2
senseless,JJ,negative,2
spurn,VBP,negative,1
sadden,VB,negative,1
misery,NN,negative,4
inhibition,NN,negative,2
infidels,NNS,negative,2
lawful,JJ,positive,2
traumatic,JJ,negative,4
nationalism,NN,negative,4
stubbornness,NN,negative,2
gauche,JJ,negative,1
wail,VBP,negative,2
astounded,JJ,positive,2
exaggerate,VB,negative,2
feasibly,RB,positive,2
stampede,NN,negative,4
brash,JJ,negative,2
amputate,VB,negative,1
uneconomical,JJ,negative,2
convoluted,JJ,negative,1
notoriously,RB,negative,2
complex,JJ,negative,1
reconciliation,NN,positive,4
crisp,JJ,positive,2
opponent,NN,negative,2
robust,JJ,positive,2
intractable,JJ,negative,2
filthy,JJ,negative,1
coupists,NNS,negative,4
celebrity,NN,positive,2
fanciful,JJ,negative,2
dwindle,VBP,negative,1
positively,RB,positive,2
heartfelt,JJ,positive,2
wily,JJ,negative,2
stole,VBD,negative,2
restrictive,JJ,negative,2
trample,VBP,negative,1
unfinished,JJ,negative,2
darken,VB,negative,1
plead,VB,both,2
keen,JJ,positive,6
zealot,NN,negative,2
goof,VB,negative,2
stink,VBP,negative,4
masterpiece,NN,positive,2
prattle,VBP,negative,1
overtures,NNS,neutral,4
lie,NN,negative,3
afford,VB,positive,2
corruption,NN,negative,2
impiety,NN,negative,2
imperatively,RB,neutral,2
valid,JJ,positive,2
malevolent,JJ,negative,2
precedent,NN,positive,2
systematic,JJ,neutral,2
maturity,NN,positive,2
fraught,JJ,negative,4
blow,NN,negative,4
exalt,VB,positive,2
apostle,NN,positive,2
allegations,NNS,negative,4
light,NN,positive,2
responsibility,NN,positive,2
disabled,JJ,negative,2
traditional,JJ,positive,2
grimace,VB,negative,1
greedy,JJ,negative,2
glum,JJ,negative,1
love,NN,positive,2
onward,NN,positive,2
disgruntle,VBP,negative,1
exhaustion,NN,negative,2
inconvenience,NN,negative,4
spotless,JJ,positive,2
unreliability,NN,negative,4
overzealous,JJ,negative,2
darkness,NN,negative,2
bliss,NN,positive,1
stances,NNS,neutral,4
fervor,NN,positive,2
evils,NNS,negative,2
speculation,NN,neutral,4
smash,VBP,negative,2
casualty,NN,negative,2
modern,JJ,positive,2
exciting,JJ,positive,2
placid,JJ,positive,2
annihilation,NN,negative,2
feeling,VBG,neutral,3
expressions,NNS,neutral,4
imprudent,JJ,negative,2
indignant,JJ,negative,2
delusional,JJ,negative,4
abandon,VB,negative,2
aimless,JJ,negative,2
hateful,JJ,negative,2
castigate,VB,negative,1
monster,NN,negative,2
competence,NN,positive,2
fashionably,RB,positive,2
fairly,RB,positive,2
vex,FW,negative,2
unjust,JJ,negative,2
burdensome,JJ,negative,4
embattled,JJ,negative,2
dedicated,JJ,positive,1
weak,JJ,negative,2
skillful,JJ,positive,4
obnoxious,JJ,negative,2
disquietude,NN,negative,2
taunt,NN,negative,2
zeal,NN,positive,2
taunt,VB,negative,2
illiquid,JJ,negative,2
admit,VBP,positive,2
complaint,NN,negative,2
acumen,NNS,positive,1
overstatement,NN,negative,4
intelligence,NN,positive,2
invidiousness,NN,negative,2
rehabilitate,VB,positive,1
unwilling,JJ,negative,2
amour,NN,positive,1
imaginary,JJ,negative,2
forgave,VBD,positive,1
tempt,VB,positive,1
mantra,NN,neutral,2
youthful,JJ,positive,2
irredeemably,RB,negative,2
dishonor,NN,negative,4
overlook,VB,negative,2
encouraging,JJ,positive,2
masterfully,RB,positive,2
aspire,VBP,positive,2
opinions,NNS,neutral,4
craze,NN,negative,2
eager,JJ,positive,2
captivate,VB,positive,1
hollow,JJ,negative,2
capable,JJ,positive,2
relieve,VB,positive,1
disastrous,JJ,negative,2
inspire,VB,positive,2
fatalistic,JJ,negative,2
underpaid,JJ,negative,2
gawk,VB,negative,1
prohibitively,RB,negative,2
reprove,VBP,negative,2
scrupulous,JJ,positive,2
confront,VB,negative,1
negligible,JJ,negative,2
scarier,JJR,negative,2
coarse,JJ,negative,2
dissuasive,JJ,negative,1
affectionate,JJ,positive,2
vanquish,VB,positive,1
liable,JJ,negative,2
maltreatment,NN,negative,4
dangerousness,NN,negative,4
react,VBP,neutral,2
realist,NN,positive,2
guilt,NN,negative,2
agreeable,JJ,positive,4
nature,NN,neutral,4
lethargic,JJ,negative,2
distressing,JJ,negative,2
confusion,NN,negative,4
ambiguous,JJ,negative,2
adventurism,NN,positive,2
eligible,JJ,positive,1
drunk,JJ,negative,2
vulnerable,JJ,positive,4
candor,NN,positive,2
infraction,NN,negative,2
downfall,NN,negative,2
disparage,VB,negative,2
closeness,NN,positive,4
defame,VBP,negative,1
subversively,RB,negative,2
compulsive,JJ,negative,2
stalemate,NN,negative,2
trepidation,NN,positive,2
lively,JJ,positive,2
impossiblity,NN,negative,2
delirious,JJ,negative,2
phobic,JJ,negative,2
rightfully,RB,positive,2
dissemble,VB,negative,1
usurp,VBP,negative,2
irreproachable,JJ,positive,2
worry,NN,negative,3
stainless,JJ,positive,2
gracefully,RB,positive,2
complain,VBP,negative,2
ascendant,JJ,positive,4
paralyzed,JJ,negative,1
potent,JJ,positive,2
incontrovertible,JJ,positive,2
scariest,JJS,negative,2
lackeys,NNS,negative,4
belief,NN,neutral,4
hurt,VBN,negative,2
originality,NN,positive,2
judgements,NNS,neutral,4
innuendo,NN,negative,4
enemy,NN,negative,2
definitive,JJ,positive,4
scolding,NN,negative,1
bleed,VB,negative,2
enthusiast,NN,positive,2
argue,VBP,negative,2
unhappiness,NN,negative,2
dissolution,NN,negative,2
insensitivity,NN,negative,4
cataclysm,NN,negative,2
appropriate,JJ,positive,2
bedlam,NN,negative,2
hostile,NN,negative,2
diabolic,JJ,negative,1
whine,VBP,negative,2
faithfulness,NN,positive,2
outburst,NN,negative,2
major,JJ,neutral,2
prodigious,JJ,positive,2
devastation,NN,negative,2
oversimplified,JJ,negative,1
bullish,JJ,positive,4
inglorious,JJ,negative,2
fatalistically,RB,negative,2
antiquated,JJ,negative,2
purity,NN,positive,2
help,VB,positive,3
exclusion,NN,negative,2
butchery,NN,negative,2
hamstrung,VBN,negative,1
foremost,JJ,positive,2
taste,NN,positive,4
candid,JJ,positive,2
marvelous,JJ,positive,4
devout,JJ,positive,2
aggravate,VBP,negative,1
incredulous,JJ,negative,2
lewdness,NN,negative,2
harpy,NN,negative,2
joy,NN,positive,2
extortion,NN,negative,2
reverently,RB,positive,2
above,IN,positive,3
graft,NN,negative,2
controversial,JJ,negative,4
debaser,NN,negative,1
contort,VB,negative,1
awkward,JJ,negative,2
excitedness,NN,positive,1
punish,VB,negative,2
autonomous,JJ,positive,2
absolve,VB,positive,1
stable,JJ,positive,4
whimsical,JJ,positive,2
stance,NN,neutral,4
uneventful,JJ,negative,2
disappoint,VBP,negative,2
gladly,RB,positive,2
spookiest,JJS,negative,2
hallowed,JJ,positive,2
sardonic,JJ,negative,2
oppositions,NNS,negative,4
sty,NN,negative,2
ashamed,JJ,negative,2
infringement,NN,negative,2
poorly,RB,negative,2
trial,NN,negative,2
shamefulness,NN,negative,2
bloody,JJ,negative,2
uniformly,RB,positive,2
repetitive,JJ,negative,2
resilient,JJ,positive,2
dejected,JJ,negative,1
incomparable,JJ,negative,2
adhesion,NN,positive,2
mishandle,VB,negative,1
nap,NN,neutral,2
fiasco,NN,negative,2
sumptuousness,NN,positive,2
bane,NN,negative,2
alienation,NN,negative,2
discreet,NN,positive,2
stupefy,VB,neutral,1
superstition,NN,negative,2
abusive,JJ,negative,2
sumptuous,JJ,positive,2
indefensible,JJ,negative,4
revival,NN,positive,2
laugh,NN,negative,4
detraction,NN,negative,2
grouse,VBP,negative,1
stupendous,JJ,positive,2
persuasive,JJ,positive,4
noticeable,JJ,positive,2
touchy,JJ,negative,2
instigators,NNS,negative,2
nifty,JJ,positive,2
massacres,NNS,negative,2
relieve,VBP,positive,1
rejoice,VBP,positive,1
injurious,JJ,negative,2
firmly,RB,neutral,2
awesomeness,NN,positive,1
talent,NN,positive,4
fears,NNS,negative,2
champion,NN,positive,6
refreshing,JJ,positive,1
unprepared,JJ,negative,2
dizzingly,RB,negative,1
remorseless,JJ,negative,2
agile,JJ,positive,2
disconcerted,JJ,negative,1
glorify,VB,positive,1
undignified,JJ,negative,1
stubbornly,RB,negative,2
gloss,VB,negative,1
flawless,JJ,positive,2
fastuous,JJ,negative,1
bearish,JJ,negative,2
tardy,JJ,negative,2
dispirited,JJ,negative,1
foolhardy,JJ,negative,2
derisiveness,SYM,negative,1
resurgent,JJ,positive,2
illuminati,NNS,positive,2
achieve,VB,positive,2
split,NN,negative,2
reestablish,VB,positive,1
culpable,JJ,negative,2
weakness,NN,negative,4
idol,NN,positive,2
stain,VB,negative,2
low,JJ,negative,5
urgency,NN,negative,4
unbroken,JJ,positive,2
choke,VBP,negative,2
imprecisely,RB,negative,2
outgoing,JJ,positive,2
pedestrian,JJ,negative,1
affect,VB,neutral,2
dupe,VBP,negative,1
ugliness,NN,negative,4
revulsion,NN,negative,2
aggravation,NN,negative,2
displease,VB,negative,1
negligence,NN,negative,2
careless,JJ,negative,2
debasement,NN,negative,2
catchy,JJ,positive,1
usurper,NN,negative,1
unsteady,JJ,negative,2
wild,JJ,negative,2
reliable,JJ,positive,2
oh,UH,neutral,2
infamously,RB,negative,2
unsatisfactory,JJ,negative,2
arouse,VBP,positive,1
maladjusted,JJ,negative,1
gusto,NN,positive,2
immensurable,NN,neutral,1
bewilder,VB,negative,1
inequitably,RB,negative,2
dismissive,JJ,negative,4
invigorate,VB,positive,1
blurt,VB,negative,1
obsess,VBZ,negative,1
agonizing,JJ,negative,4
tranquil,JJ,positive,1
eagerness,NN,positive,2
swift,JJ,positive,1
loneliness,NN,negative,2
perplexed,JJ,negative,1
indulgence,NN,positive,2
recommendations,NNS,positive,4
inconsistence,NN,negative,1
perilous,JJ,negative,2
equitable,JJ,positive,2
inviolate,JJ,positive,1
quick,JJ,neutral,2
ineligible,JJ,negative,1
illogical,JJ,negative,2
disbelief,NN,negative,2
nosey,JJ,negative,1
pleasant,JJ,positive,2
surmise,VB,positive,1
dissention,NN,negative,2
impress,VB,positive,2
perish,VBP,negative,1
aspiration,NN,positive,2
legitimately,RB,positive,2
woeful,JJ,negative,1
inspiring,JJ,positive,4
envious,JJ,negative,2
unconfirmed,JJ,negative,2
feasible,JJ,positive,2
endearing,JJ,positive,2
